ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
1,Q2317490,1st Lok Sabha,1952-04-17T00:00:00Z,11,,,1957-04-04T00:00:00Z,11,,,,,,,,,Q2402693,2nd Lok Sabha
2,Q2402693,2nd Lok Sabha,1957-04-05T00:00:00Z,11,,,1962-03-31T00:00:00Z,11,,,,,,,Q2317490,1st Lok Sabha,Q3522127,3rd Lok Sabha
3,Q3522127,3rd Lok Sabha,1962-04-02T00:00:00Z,11,,,1967-03-03T00:00:00Z,11,,,,,,,Q2402693,2nd Lok Sabha,Q3522016,4th Lok Sabha
4,Q3522016,4th Lok Sabha,1967-03-04T00:00:00Z,11,,,1970-12-27T00:00:00Z,11,,,,,,,Q3522127,3rd Lok Sabha,Q3523480,5th Lok Sabha
5,Q3523480,5th Lok Sabha,1971-03-15T00:00:00Z,11,,,1977-01-18T00:00:00Z,11,,,,,,,Q3522016,4th Lok Sabha,Q3522682,6th Lok Sabha
6,Q3522682,6th Lok Sabha,1977-03-23T00:00:00Z,11,,,1979-08-22T00:00:00Z,11,,,,,,,Q3523480,5th Lok Sabha,Q3534076,7th Lok Sabha
7,Q3534076,7th Lok Sabha,1980-01-18T00:00:00Z,11,,,1984-12-31T00:00:00Z,11,,,,,,,Q3522682,6th Lok Sabha,Q3534144,8th Lok Sabha
8,Q3534144,8th Lok Sabha,1984-12-31T00:00:00Z,11,,,1989-11-27T00:00:00Z,11,,,,,,,Q3534076,7th Lok Sabha,Q3534169,9th Lok Sabha
9,Q3534169,9th Lok Sabha,1989-12-02T00:00:00Z,11,,,1991-03-13T00:00:00Z,11,,,,,,,Q3534144,8th Lok Sabha,Q3522615,10th Lok Sabha
10,Q3522615,10th Lok Sabha,1991-06-20T00:00:00Z,11,,,1996-05-10T00:00:00Z,11,,,,,,,Q3534169,9th Lok Sabha,Q3534024,11th Lok Sabha
11,Q3534024,11th Lok Sabha,1996-05-15T00:00:00Z,11,,,1997-12-04T00:00:00Z,11,,,,,,,Q3522615,10th Lok Sabha,Q3523469,12th Lok Sabha
12,Q3523469,12th Lok Sabha,1998-03-10T00:00:00Z,11,,,1999-04-26T00:00:00Z,11,,,,,,,Q3534024,11th Lok Sabha,Q3521642,13th Lok Sabha
13,Q3521642,13th Lok Sabha,1999-10-10T00:00:00Z,11,,,2004-02-06T00:00:00Z,11,,,,,,,Q3523469,12th Lok Sabha,Q3521611,14th Lok Sabha
14,Q3521611,14th Lok Sabha,2004-05-17T00:00:00Z,11,,,2009-05-18T00:00:00Z,11,,,,,,,Q3521642,13th Lok Sabha,Q2617526,15th Lok Sabha
15,Q2617526,15th Lok Sabha,2009-05-22T00:00:00Z,11,,,2014-05-18T00:00:00Z,11,,,,,,,Q3521611,14th Lok Sabha,Q15978395,16th Lok Sabha
16,Q15978395,16th Lok Sabha,2014-05-26T00:00:00Z,11,,,2019-05-24T00:00:00Z,11,,,,,,,Q2617526,15th Lok Sabha,Q56064191,17th Lok Sabha
17,Q56064191,17th Lok Sabha,2019-05-30T00:00:00Z,11,,,,,,,,,,,Q15978395,16th Lok Sabha,,
